"","Name","PM10","Area","Population","GDP","PrimaryIndustry","SecondaryIndustry","TertiaryIndustry","Unemployment","FixedAssetInvestment","TotalExportsImports","Imports","Exports","SalesSocialConsumerGoods","PopulationDensity","TotalSecondaryIndustry","Latitude","Longitude"
"1","Anshan",105,9252,3.5,35.67688,0.05,0.531,0.419,0.0197,185.84,4880,2700,2180,80.01,378.296584522265,18.94442328,41.12,122.95
"2","Anyang",109,7413,5.09,22.89832,0.118,0.571,0.311,0.036,136.8,1867.12,441.27,1425.85,53.27,686.631593147174,13.07494072,36.08,114.35
"3","Baoding",84,22159,10.23,36.04816,0.129,0.55,0.321,0.0398,200.01,5180,4040,1130,122.05,461.663432465364,19.826488,38.87,115.48
"4","Baoji",98,18175,3.74,21.02424,0.102,0.658,0.24,0.032,166.98,888,698,190,47,205.777166437414,13.83394992,34.38,107.15
"5","Baotou",102,27768,2.77,47.6408,0.029,0.516,0.455,0.0387,299.14,2100,1110,990,107.74,99.7551138000576,24.5826528,40.6,110.05
"6","Beihai",58,3337,1.57,8.57888,0.203,0.491,0.306,0.031,72.54,2080,1180,894,14.65,470.482469283788,4.21223008,21.48,109.1
"7","Beijing",121,16801,21.15,265.20816,0.008,0.223,0.769,0.0121,703.22,429110,63250,365860,837.51,1258.85363966431,59.14141968,39.93,116.4
"8","Benxi",69,9348,1.52,16.23432,0.053,0.597,0.35,0.0395,84.3,NA,2700,NA,29.74,162.60162601626,9.69188904,41.33,123.75
"9","Changchun",83,20604,7.57,68.04352,0.067,0.531,0.402,0.0363,340.84,20400,2590,17110,197,367.404387497573,36.13110912,43.87,125.35
"10","Changde",92,18189.8,6.07,30.80264,0.143,0.487,0.37,0.0395,128.42,560,380,180,72.68,333.703504161673,15.00088568,29.03,111.68
"11","Changsha",104,11819,7.22,97.28216,0.041,0.551,0.408,0.0289,459.34,9893,6166,3727,280.2,610.880785176411,53.60247016,28.2,112.97
"12","Changzhi",83,13864,3.39,18.13832,0.043,0.65,0.307,0.0165,108.68,1054.57,837.41,217.16,42.58,244.518176572418,11.789908,35.22,111.75
"13","Changzhou",97,4385,4.69,59.30824,0.032,0.516,0.452,0.04,290.28,29210,20370,8840,159.7,1069.55530216648,30.60305184,31.78,119.97
"14","Chengdu",102,12400,14.3,123.88104,0.039,0.459,0.502,0.0282,650.11,50580,31880,18700,375.29,1153.22580645161,56.86139736,30.67,104.07
"15","Chifeng",93,90275,4.31,22.93232,0.157,0.541,0.302,0.0387,157.88,1410,118,1050,52.66,47.7430074771531,12.40638512,42.27,118.95
"16","Chongqing",89,82403,29.7,172.13112,0.079,0.505,0.416,0.034,1120.5,68704,46797,21907,451.18,360.423770979212,86.9262156,29.57,106.58
"17","Datong",75,14176,3.37,13.158,0.057,0.471,0.472,0.028,103.63,478.15,214.93,263.22,47.12,237.725733634312,6.197418,40.08,113.3
"18","Deyang",65,5818,3.52,18.98424,0.139,0.601,0.26,0.037,80.74,3390,2350,1100,46.77,605.018906840839,11.40952824,31.13,104.4
"19","Fushun",94,11272,2.19,16.89664,0.068,0.598,0.334,0.039,95.35,980,710,270,45.52,194.286728176011,10.10419072,41.87,123.88
"20","Fuzhou",73,12154,7.34,63.6276,0.086,0.456,0.458,0.0242,383.42,31430,19340,12090,268.17,603.916406121441,29.0141856,26.08,119.3
"21","Guangzhou",69,7435,12.93,209.71336,0.015,0.339,0.646,0.0215,445.46,118890,62810,56080,688.29,1739.07195696032,71.09282904,23.12,113.25
"22","Guilin",66,27797,5.22,22.54744,0.181,0.478,0.341,0.0376,139.03,924,759,165,60.4,187.790049285894,10.77767632,25.28,110.28
"23","Guiyang",75,8034,4.52,28.36144,0.039,0.407,0.554,0.0296,195.81,6318,5579,739,78.57,562.608912123475,11.54310608,26.58,106.72
"24","Haikou",40,2304.84,2.17,12.30256,0.065,0.24,0.695,0.0132,64.93,5100,1890,3220,49.01,941.49702365457,2.9526144,20.05,110.32
"25","Handan",90,12087,10.12,41.6364,0.134,0.513,0.353,0.04,275.89,3610,1370,2240,110.62,837.263175312319,21.3594732,36.58,114.48
"26","Hangzhou",98,8488,8.84,113.4716,0.032,0.439,0.529,0.0185,426.39,65070,44770,20310,353.12,1041.47031102733,49.8140324,30.25,120.17
"27","Harbin",101,53796,9.95,68.14688,0.118,0.348,0.534,0.036,521.99,6540,2900,3640,272.83,184.957989441594,23.71511424,45.75,126.65
"28","Hefei",115,11408.48,7.61,63.55144,0.053,0.553,0.394,0.033,470.8,18190,11899,6291,148.08,667.047669803515,35.14394632,31.85,117.28
"29","Hohhot",68,17224,3,36.86144,0.05,0.32,0.63,0.0361,150.48,1600,735,864,114.24,174.175568973525,11.7956608,40.82,111.64
"30","Hong Kong SAR",45,1103,7,221.9928,0.001,0.079,0.92,0.046,NA,665130,318180,346950,NA,6346.32819582956,17.5374312,NA,NA
"31","Huzhou",86,5818,2.62,24.52352,0.07,0.528,0.402,0.0307,107,9540,8090,1450,76.62,450.326572705397,12.94841856,30.87,120.1
"32","Jiaozuo",99,4071,3.51,23.22064,0.078,0.674,0.248,0.041,137.4,2260,1510,750,49.47,862.196020633751,15.65071136,35.25,113.22
"33","Jilin",81,27120,4.31,35.59664,0.096,0.489,0.415,NA,200.03,1101.97,519.09,58288,106.67,158.923303834808,17.40675696,43.85,126.55
"34","Jinan",117,8227,7,71.13072,0.054,0.393,0.553,0.024,263.83,9570,5480,4090,263.39,850.856934484016,27.95437296,36.67,117
"35","Jinchang",88,8896,0.47,3.31024,0.055,0.758,0.187,0.0311,18.49,3453,43,3410,5.1,52.8327338129496,2.50916192,38.47,102.17
"36","Jingzhou",88,14104,5.74,18.15464,0.239,0.447,0.314,0.041,135.56,1366,1127,239,73.83,406.976744186047,8.11512408,30.35,112.18
"37","Jining",116,10684.9,8.21,47.6204,0.12,0.511,0.369,0.03,225.6,5230,3330,1900,147.59,768.374060590179,24.3340244,35.4,116.55
"38","Jiujiang",64,18887,4.79,21.78312,0.081,0.561,0.358,0.045,150.78,4741,4034,707,43.56,253.613596653783,12.22033032,29.73,115.98
